type,cast,country,date_added,release_year,rating,duration,listed_in,duration_int
Movie,"Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",United States,2019-11-20,2009,PG-13,85 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",85.0
Movie,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","United States, Mexico",2012-11-14,2012,R,84 min,Comedies,84.0
TV Show,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard",Japan,2019-01-04,2015,TV-14,1 Season,"Anime Series, Crime TV Shows, TV Thrillers",1.0
Movie,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini","United Kingdom, Czech Republic, United States, Germany, Bahamas",2020-08-31,2006,PG-13,145 min,Action & Adventure,145.0
Movie,Wong Jing,Hong Kong,2018-08-01,1992,TV-MA,125 min,"Action & Adventure, Dramas, International Movies",125.0
Movie,Dennis Chan,Hong Kong,2018-08-16,1992,TV-MA,108 min,"Action & Adventure, Dramas, International Movies",108.0
Movie,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor",United States,2019-11-01,1958,NR,108 min,"Classic Movies, Dramas",108.0
Movie,Unknown,"China, Germany, India, United States",2016-04-22,2015,TV-14,74 min,Documentaries,74.0
Movie,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka","United States, Australia",2019-02-01,2010,PG,82 min,"Children & Family Movies, Comedies",82.0
Movie,Unknown,Canada,2019-01-07,2018,TV-PG,75 min,"Documentaries, International Movies",75.0
Movie,"Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle",Norway,2017-06-15,2016,TV-MA,77 min,"Action & Adventure, International Movies, Thrillers",77.0
Movie,P.K. Nair,India,2017-04-01,2012,TV-PG,156 min,"Documentaries, International Movies",156.0
Movie,"Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik",United States,2020-01-01,2000,PG-13,116 min,Dramas,116.0
Movie,Om Puri,India,2018-11-01,2014,TV-PG,126 min,"Dramas, Faith & Spirituality, International Movies",126.0
Movie,Nagesh Bhonsle,India,2018-03-15,2010,TV-14,129 min,"Comedies, Dramas, International Movies",129.0
Movie,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani",India,2019-12-31,2000,TV-14,132 min,"Comedies, International Movies, Romantic Movies",132.0
Movie,"Syra Shehroz, Kent S. Leung, Osama Tahir, Mansha Pasha, Zhalay Sharhadi, Faris Khalid, Behroze Sabzwari, Shamim Hilaly",Pakistan,2018-05-15,2017,TV-14,118 min,"Comedies, Dramas, International Movies",118.0
Movie,K.G. Chandani Renuka Ratnayake,"Germany, Sri Lanka",2017-03-01,2010,TV-G,87 min,"Documentaries, International Movies",87.0
Movie,"Mary Beth Hurt, Rachel Brosnahan, Aidan Quinn, Olympia Dukakis, M. Emmet Walsh, Peter Gerety, Macy Gray, Satya Bhabha",United States,2020-03-01,2018,PG,95 min,Dramas,95.0
Movie,"Chicco Jerikho, Pevita Pearce",Indonesia,2019-01-05,2016,TV-14,86 min,"Dramas, International Movies, Romantic Movies",86.0
Movie,"Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore","United States, Sweden",2018-10-01,2017,PG-13,106 min,Dramas,106.0
Movie,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","United Kingdom, United States",2020-01-01,2005,PG,115 min,"Children & Family Movies, Comedies",115.0
Movie,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese",United States,2019-10-01,2003,PG-13,106 min,"Action & Adventure, Comedies",106.0
Movie,"Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,2019-11-23,1973,G,94 min,"Children & Family Movies, Classic Movies",94.0
Movie,"Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma",India,2017-05-01,2013,TV-PG,121 min,"Comedies, International Movies, Music & Musicals",121.0
Movie,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith",United States,2020-01-01,1997,R,113 min,"Comedies, Cult Movies, Dramas",113.0
TV Show,Cyril Chauquet,Canada,2017-12-15,2016,TV-PG,2 Seasons,"Docuseries, Reality TV, Science & Nature TV",2.0
Movie,"Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","Hong Kong, China",2018-04-19,2017,TV-MA,129 min,"Action & Adventure, Dramas, International Movies",129.0
Movie,"Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West",United States,2017-11-13,2016,TV-PG,99 min,"Documentaries, Music & Musicals",99.0
Movie,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","India, France",2017-02-01,2015,TV-14,116 min,"Dramas, Independent Movies, International Movies",116.0
TV Show,Melanie Vallejo,Australia,2017-12-01,2016,TV-14,1 Season,"International TV Shows, Reality TV",1.0
TV Show,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",United States,2017-07-01,1992,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies",11.0
TV Show,"Seong-joo Kim​, Jung-hwan Ahn",South Korea,2017-08-04,2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Reality TV",2.0
Movie,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff",United States,2018-08-01,2012,R,88 min,"Horror Movies, Thrillers",88.0
TV Show,"Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley",United Kingdom,2016-10-01,1999,TV-14,1 Season,"British TV Shows, TV Comedies",1.0
TV Show,"Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele",United Kingdom,2017-04-04,2017,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows",2.0
Movie,"Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",India,2019-08-15,2019,TV-Y7,112 min,Children & Family Movies,112.0
Movie,"Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth",India,2018-07-01,2017,TV-14,113 min,"Comedies, International Movies",113.0
Movie,"Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn",United States,2016-03-16,2005,G,82 min,"Children & Family Movies, Comedies",82.0
Movie,"Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor",Nigeria,2019-03-15,2018,TV-MA,98 min,"Comedies, Dramas, International Movies",98.0
Movie,"Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder",United States,2019-12-31,1988,R,87 min,"Cult Movies, Horror Movies",87.0
Movie,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",China,2018-09-24,2017,TV-MA,111 min,"Action & Adventure, International Movies",111.0
Movie,"Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya","United States, India, Bangladesh",2018-01-01,2012,NR,105 min,"Dramas, Independent Movies, International Movies",105.0
Movie,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin","United Kingdom, United States",2020-01-01,1968,G,146 min,"Children & Family Movies, Classic Movies, Comedies",146.0
Movie,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani","United States, Canada, France",2020-01-01,2009,R,96 min,"Independent Movies, Thrillers",96.0
Movie,Chris Brown,United States,2017-10-07,2017,TV-MA,80 min,"Documentaries, Music & Musicals",80.0
Movie,"Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona, Stephen Tobolowsky, John O'Hurley, David Keith, Morgan Fairchild, Corbin Bernsen",United States,2019-06-06,2014,PG,99 min,"Comedies, Faith & Spirituality, Romantic Movies",99.0
TV Show,Unknown,United States,2018-09-30,2018,TV-MA,1 Season,Docuseries,1.0
Movie,"Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty","Canada, United States",2019-11-04,2012,TV-PG,87 min,"Comedies, Romantic Movies",87.0
Movie,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, Danny Vinson, Gregory Alan Williams, Rebecca Koon, Brett Rice",United States,2019-03-01,2015,TV-G,88 min,"Children & Family Movies, Dramas, Romantic Movies",88.0
Movie,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, Erik Per Sullivan, Cheech Marin, Jake Busey, M. Emmet Walsh, Kevin Chamberlin, Elizabeth Franz, René Lavan",United States,2019-01-01,2004,PG,99 min,"Children & Family Movies, Comedies",99.0
Movie,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi",United States,2019-03-05,2018,PG,104 min,"Children & Family Movies, Comedies, Dramas",104.0
Movie,"Rodrigo de la Serna, Pablo Echarri, Nazareno Casero, Lautaro Delgado, Matías Marmorato, Martín Urruty, César Albarracín, Guillermo Fernandez, Daniel Di Biase",Argentina,2018-06-15,2006,R,104 min,"Dramas, International Movies, Thrillers",104.0
TV Show,Unknown,Malaysia,2017-11-15,2017,TV-Y7,1 Season,Kids' TV,1.0
Movie,"Ahsan Khan, Neelam Muneer, Faizan Khawaja, Ali Rizvi, Vajdaan Shah, Zayed Sheikh, Talat Hussain, Javed Sheikh",Pakistan,2019-01-15,2017,TV-14,118 min,"Comedies, International Movies",118.0
Movie,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash, Asrani, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee",India,2019-12-31,1975,TV-PG,127 min,"Classic Movies, Comedies, International Movies",127.0
Movie,"John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Ray Stevenson, Patrick Fugit, Orlando Jones, Willem Dafoe, Salma Hayek, Michael Cerveris, Jane Krakowski, Frankie Faison, Patrick Breen, Colleen Camp, Don McManus, Jessica Carlson, Kristen Schaal",United States,2018-04-16,2009,PG-13,109 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",109.0
TV Show,Unknown,United Kingdom,2017-10-01,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",1.0
Movie,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga","Brazil, France, Germany",2020-01-01,2002,R,130 min,"Dramas, Independent Movies, International Movies",130.0
Movie,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo, Roshan Seth, Hannah Rae, Antonio Aakeel, George Sargeant, Alexander Siddig, Vincent Regan, Barry Aird",United Kingdom,2017-07-21,2016,TV-MA,110 min,"Dramas, International Movies, Thrillers",110.0
TV Show,Unknown,United Kingdom,2018-10-01,2018,TV-14,1 Season,"British TV Shows, Docuseries",1.0
Movie,Clarence Clemons,United States,2019-11-14,2019,TV-MA,88 min,"Documentaries, Music & Musicals",88.0
Movie,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans","United States, United Kingdom, Australia",2019-08-01,2010,PG-13,106 min,"Action & Adventure, Sci-Fi & Fantasy",106.0
Movie,"Christien Anholt, Andre Braugher, Dan Futterman, Josh Lucas, Clive Owen, Sophie Ward, Sue-Ann Leeds, Laura Linney",United States,2018-04-01,1993,TV-PG,91 min,Dramas,91.0
Movie,"Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang",United States,2018-09-18,2018,TV-MA,103 min,Comedies,103.0
TV Show,Javed Akhtar,India,2017-05-15,2012,TV-PG,1 Season,"Docuseries, International TV Shows",1.0
Movie,"Tamara Dobson, Bernie Casey, BrendaSykes, Esther Rolle, Shelley Winters",United States,2019-11-01,1973,PG,89 min,"Action & Adventure, Classic Movies",89.0
Movie,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Joseph Castanon, Jonah Hill, Jake Hoffman, Jennifer Coolidge",United States,2020-01-01,2006,PG-13,108 min,"Comedies, Sci-Fi & Fantasy",108.0
TV Show,Donal MacIntyre,United Kingdom,2017-09-17,2017,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1.0
Movie,Clive Davis,United States,2019-09-17,2017,TV-MA,124 min,"Documentaries, Music & Musicals",124.0
Movie,"Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff, Kenneth Cranham, Julia Stiles, Jim Broadbent, Denis Moschitto, Barbora Bobulova, Jemma Powell","United Kingdom, United States",2017-10-16,2013,R,96 min,"Dramas, Thrillers",96.0
Movie,"Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Doona Bae, Ben Whishaw, Keith David, James D'Arcy, Zhou Xun","Germany, United States, Hong Kong, Singapore",2017-08-01,2012,R,172 min,"Action & Adventure, Cult Movies, Dramas",172.0
Movie,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet","France, Germany, Switzerland",2017-02-12,2014,R,124 min,"Dramas, International Movies",124.0
Movie,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David, Mike Vogel, Odette Annable, Anjul Nigam, Margot Farley, Theo Rossi, Brian Klugman",United States,2020-01-01,2008,PG-13,85 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",85.0
Movie,"Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez, Nana Gbewonyo, Antwon Tanner, Channing Tatum, Ashanti, Texas Battle, Denise Dowse, Debbi Morgan","United States, Germany",2020-01-01,2005,PG-13,137 min,"Dramas, Sports Movies",137.0
Movie,"Cedric the Entertainer, Lucy Liu, Nicollette Sheridan, Mark Dacascos, Callum Keith Rennie, DeRay Davis, Niecy Nash, Will Patton",United States,2019-11-01,2007,PG-13,91 min,"Action & Adventure, Comedies",91.0
Movie,"Sunil Grover, Zakir Hussain, Anjana Sukhani, Dipannita Sharma, Pankaj Tripathi, Rajesh Sharma, Vinod Ramani, Guru Singh",India,2017-11-01,2017,TV-PG,120 min,"Comedies, Independent Movies, International Movies",120.0
TV Show,Unknown,United States,2019-09-15,2017,TV-14,1 Season,"Crime TV Shows, Docuseries",1.0
TV Show,Bill Kurtis,United States,2020-09-15,1999,TV-MA,1 Season,"Crime TV Shows, Docuseries",1.0
Movie,"Mir Afsar Ali, Gaurav Chakrabarty, Tanusree Chakraborty, Anirban Bhattacharya, Ritabhari Chakraborty, Suchandra Vaaniya, Arijit Dutt",India,2017-03-30,2016,TV-14,118 min,"Comedies, Dramas, Independent Movies",118.0
Movie,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey, Vicky Krieps, Jeanne Werner, Julian Ovenden, August Zirner, Martin Wuttke, Stefan Merki","Germany, France, Luxembourg, United Kingdom, United States",2018-07-14,2015,R,110 min,"Dramas, Independent Movies, International Movies",110.0
Movie,"Randeep Hooda, Nandana Sen, Jim Boeven, Paresh Rawal, Tom Alter, Vikram Gokhale, Vipin Sharma, Gaurav Dwivedi",India,2018-05-25,2008,TV-14,114 min,"Dramas, International Movies",114.0
Movie,"Aaron Paul, Annabelle Wallis, Garret Dillahunt, Chris Chalk, Zachary Knighton, Enver Gjokaj, Michael Kopsa, Terry Chen","Canada, United States, United Kingdom",2019-09-18,2016,R,112 min,"Dramas, Thrillers",112.0
TV Show,"Scott Aukerman, Reggie Watts",United States,2016-12-28,2016,TV-14,5 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",5.0
Movie,Unknown,United States,2017-05-15,2017,TV-PG,92 min,Documentaries,92.0
Movie,"Ajay Devgn, Vivek Oberoi, Mohanlal, Manisha Koirala, Seema Biswas, Antara Mali, Akash Khurana, Madan Joshi, Vijay Raaz, Rajpal Yadav",India,2018-03-01,2002,TV-MA,137 min,"Action & Adventure, Dramas, International Movies",137.0
Movie,"Analeigh Tipton, Jakob Cedergren, Marta Gastini, Jan Bijvoet, Anita Kravos, Valentin Merlet","United Kingdom, Canada, Italy",2018-10-04,2016,TV-MA,84 min,"Dramas, Thrillers",84.0
TV Show,Unknown,United States,2018-12-31,2018,TV-14,1 Season,"Docuseries, TV Comedies",1.0
Movie,Unknown,"Czech Republic, France",2017-09-01,2016,TV-MA,52 min,"Documentaries, International Movies, Sports Movies",52.0
Movie,"Robin Weigert, Maggie Siff, Johnathan Tchaikovsky, Ben Shenkman, Janel Moloney, Emily Kinney",United States,2018-08-02,2013,R,96 min,"Dramas, Independent Movies, LGBTQ Movies",96.0
Movie,"Phuong Mai, Quang Su, Hoang Phuc Nguyen, Chi Pu, Tien Pham, Hoai An",Vietnam,2018-08-28,2014,TV-MA,112 min,"Horror Movies, International Movies, Thrillers",112.0
Movie,Conor McGregor,Ireland,2018-03-21,2017,R,90 min,"Documentaries, Sports Movies",90.0
Movie,"Nehir Erdoğan, Tardu Flordun, İlker Kaleli, Serkan Keskin, Esra Bezen Bilgin, Aytaç Uşun, Cem Özeren, Caner Arçkan",Turkey,2019-10-25,2014,TV-MA,106 min,"Dramas, International Movies, Thrillers",106.0
Movie,"Adhvik Mahajan, Prasad Purandhare, Sakshi Gulati, Zakir Hussain, Amruta Subhash, Kishore Kadam, Sumeet Nijhawan, Upyendra Limaye",India,2019-03-02,2008,TV-14,116 min,"Action & Adventure, Dramas, Independent Movies",116.0
TV Show,"Josh Leyva, Ngaio Bealum",United States,2018-06-22,2018,TV-MA,1 Season,Reality TV,1.0
Movie,"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio, Robert Drivas, Strother Martin, Jo Van Fleet, Harry Dean Stanton, Dennis Hopper, Joe Don Baker, James Gammon, Wayne Rogers",United States,2021-01-01,1967,TV-14,127 min,"Classic Movies, Dramas",127.0
Movie,"Lou Diamond Phillips, Lulu Wilson, Giles Panton, Janet Kidder, Michael Coleman, Wallace Shawn, Gina Holden, Jordyn Ashley Olson, Vincent Tong, Reese Alexander",Canada,2017-08-17,2017,PG,96 min,"Children & Family Movies, Comedies",96.0
Movie,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders, Dawn French, Keith David, Robert Bailey Jr., Ian McShane",United States,2017-03-16,2009,PG,101 min,Children & Family Movies,101.0
Movie,"Sarah Butler, Larissa Albuquerque, Kayla Wallace, Matthew MacCaull, James Dean, Alison Wandzura, Bruce Blain, Natalie Grace, Phillip Mitchell",Canada,2018-07-01,2018,TV-14,88 min,"Dramas, Thrillers",88.0
TV Show,Chris Bourke,Australia,2019-10-02,2017,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",1.0
Movie,Israel Houghton,United States,2016-03-31,2016,TV-G,75 min,"Documentaries, Faith & Spirituality, Music & Musicals",75.0
Movie,"Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito, William Fichtner, Brendan Fraser, Terrence Howard, Ludacris, Thandie Newton, Ryan Phillippe, Larenz Tate, Nona Gaye, Michael Peña","United States, Germany",2019-10-01,2004,R,112 min,"Dramas, Independent Movies",112.0
Movie,"Mrinmayee Godbole, Vinay Sharma, Saurabh Saraswat, Isha Keskar, Abhay Mahajan, Geetika Tyagi",India,2019-04-29,2016,TV-MA,110 min,"Comedies, Dramas, Independent Movies",110.0
TV Show,"Augusto Madeira, Érico Brás, Gustavo Machado, Dionisio Neto, Fernanda Vianna, Georgina Castro, Leo Miranda, Marat Descartes, Mauricio Tarcinalli Barros, Sabrina Greve, Sérgio Malheiros",France,2019-01-31,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",1.0
Movie,"Chow Yun Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Lung Hsiung, Cheng Pei-pei, Fa Zeng Li, Xian Gao, Yan Hai, De Ming Wang","Taiwan, Hong Kong, United States, China",2019-03-01,2000,PG-13,120 min,"Action & Adventure, International Movies, Romantic Movies",120.0
Movie,"Fiona Dourif, Michael Therriault, Adam Hurtig, Alex Vincent, Jennifer Tilly, Brad Dourif, Summer H. Howell, Grace Lynn Kung, Elisabeth Rosen, Zak Santiago, Ali Tataryn",United States,2017-10-03,2017,R,90 min,Horror Movies,90.0
Movie,"Noriko Shinohara, Ushio Shinohara",United States,2018-06-14,2013,R,82 min,Documentaries,82.0
Movie,"Ankush Chaudhari, Makrand Deshpande, Pooja Sawant, Sanjay Khapre, Yatin Karyekar, Kamlesh Sawant, Sandeep Gaikwad, Digvijay Rohidas",India,2018-02-15,2015,TV-14,118 min,"Action & Adventure, Dramas, International Movies",118.0
Movie,"Sema Şimşek, Nilay Gök, Volkan Ünal, Fehmi Karaarslan, Elçin Atamgüç, Ömer Duran, Murat Seviş, Aybike Turan, Burak Çimen",Turkey,2019-04-17,2015,TV-MA,153 min,"Horror Movies, International Movies",153.0
Movie,"Jack Lemmon, Ted Danson, Olympia Dukakis, Kathy Baker, Kevin Spacey, Ethan Hawke, Zakes Mokae, J.T. Walsh, Peter Michael Goetz, John Apicella, Richard McGonagle, Bill Morey, Mary Fogarty",United States,2018-04-01,1989,PG,117 min,Dramas,117.0
TV Show,"Arthur Lowe, John Le Mesurier, Clive Dunn, John Laurie, Arnold Ridley, Ian Lavender, James Beck, Bill Pertwee",United Kingdom,2018-03-31,1977,TV-PG,10 Seasons,"British TV Shows, Classic & Cult TV, TV Comedies",10.0
Movie,"Eddie Murphy, Jeff Garlin, Steve Zahn, Regina King, Anjelica Huston, Kevin Nealon, Jonathan Katz, Siobhan Fallon Hogan, Lisa Edelstein, Lacey Chabert, Laura Kightlinger, Leila Arcieri",United States,2019-01-01,2003,PG,93 min,"Children & Family Movies, Comedies",93.0
Movie,"Madison Lawlor, Montana Manning, Andrew Pifko, Monte Markham, Kamala Jones, Jodi Carol Harrison, Seth Cassell, Ronnie Clark, Lissa Danshaw, J.J. Hawkins",United States,2019-09-20,2019,TV-MA,82 min,"Dramas, Independent Movies, LGBTQ Movies",82.0
Movie,"Walter Cornás, Dany Casco, Caro Angus, Rocío Rodríguez Presedo, Chucho Fernández, Amanda Nara, Maite Zumelzú",Argentina,2016-12-20,2015,NR,115 min,"Action & Adventure, Horror Movies, International Movies",115.0
Movie,"Tini Tom, Malavikka, Sudheer Karamana, Indrans",India,2018-07-01,2017,TV-14,151 min,"Dramas, International Movies",151.0
Movie,"Victor Banerjee, Adil Hussain, Bhanu Uday, Preeti Gupta, Bhavani Lee, Ankur Vikal, Seema Rahmani, Samrat Chakrabarti","United States, India",2018-04-01,2015,TV-MA,103 min,"Dramas, Independent Movies, International Movies",103.0
Movie,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn, Michael O'Neill, Dallas Roberts, Griffin Dunne, Kevin Rankin, Donna DuPlantier",United States,2018-01-16,2013,R,117 min,"Dramas, Independent Movies, LGBTQ Movies",117.0
TV Show,"Xenia Goodwin, Alicia Banit, Dena Kaplan, Isabel Durant, Thom Green, Jordan Rodrigues, Thomas Lacey, Tim Pocock, Tara Morice",Australia,2017-12-20,2013,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",1.0
Movie,"Xenia Goodwin, Alicia Banit, Dena Kaplan, Jordan Rodrigues, Keiynan Lonsdale, Thomas Lacey, Tara Morice, Miranda Otto","Germany, Australia",2018-07-02,2017,TV-PG,100 min,"Dramas, International Movies",100.0
Movie,"Martina Schöne-Radunski, Hans-Heinrich Hardt, Sebastian Fräsdorf, Claudia Jacob, Deleila Piasko, Tobias Borchers, Ruth Bickelhaupt",Germany,2017-04-01,2016,TV-MA,70 min,"Dramas, Independent Movies, International Movies",70.0
TV Show,"Alfonso Herrera, Damián Alcázar, Gabriela Roel, Itahisa Machado, Dagoberto Gama, Hernán Mendoza, Daniel Martínez, Christian Vasquez, Aleyda Gallardo, Danny Perea, Pakey Vázquez, Fátima Molina, Héctor Holten, Carlos Valencia",Mexico,2018-03-31,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1.0
TV Show,"Adrian Dunbar, Sue Perkins, Charley Boorman, Rhod Gilbert, Greg Davies, Ben Fogle, Hugh Dennis, Ed Byrne, Andy Parsons, Liza Tarbuck, David Baddiel",United Kingdom,2019-02-01,2012,TV-MA,2 Seasons,"British TV Shows, Docuseries",2.0
Movie,"Danny Fields, Iggy Pop, Alice Cooper, Judy Collins, Tommy Ramone, Jac Holzman, Lenny Kaye, Wayne Kramer, John Cameron Mitchell, Jann Wenner",United States,2017-03-02,2015,TV-MA,103 min,"Documentaries, Music & Musicals",103.0
